Título,Rating,Sinopse,Link
Batman: O Cavaleiro das Trevas,"9,1","Agora com a ajuda do tenente Jim Gordon e do promotor público Harvey Dent, Batman tem tudo para banir o crime de Gotham City de uma vez por todas. Mas em breve, os três serão vítimas do Coringa, que pretende lançar Gotham em uma anarquia.",https://imdb.com/pt/title/tt0468569/
Iron Lung: Oceano De Sangue,"6,5",Baseado no jogo homônimo.,https://imdb.com/pt/title/tt27564844/
Terror em Silent Hill: Regresso para o Inferno,"4,0","Quando uma carta misteriosa o chama de volta a Silent Hill em busca de seu amor perdido, James encontra uma cidade outrora reconhecível e se depara com figuras aterrorizantes, tanto familiares quanto novas.",https://imdb.com/pt/title/tt22868010/
Pulp Fiction: Tempo de Violência,"8,8","As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.",https://imdb.com/pt/title/tt0110912/
Blue Moon - Música e Solidão,"6,8","Conta a história da luta de Lorenz Hart contra o alcoolismo e a saúde mental enquanto ele tenta se salvar durante a estreia de ""Oklahoma"".",https://imdb.com/pt/title/tt32536315/
A Origem,"8,8",Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.,https://imdb.com/pt/title/tt1375666/
The Moment,"6,3",Uma estrela pop em ascensão enfrenta as complexidades da fama e da pressão da indústria enquanto se prepara para sua estreia na turnê de arena.,https://imdb.com/pt/title/tt35524793/
Pânico VI,"6,4",Os sobreviventes dos assassinatos de Ghostface deixam Woodsboro para trás e iniciam um novo capítulo na cidade de Nova York.,https://imdb.com/pt/title/tt17663992/
De Férias com Você,"6,6","Assim como Alex e Poppy, ela quer explorar o mundo; ele prefere ficar em casa com um livro, mas, de alguma forma, eles são os melhores amigos.",https://imdb.com/pt/title/tt22740896/
Os Infiltrados,"8,5",Um policial disfarçado e um espião estão tentando se identificar enquanto se infiltram em uma gangue irlandesa no sul de Boston.,https://imdb.com/pt/title/tt0407887/
Undertone,"6,7","Uma apresentadora de podcast de terror muda com seu terminal principal. Cintas misteriosas sobre vivências paranormais de uma esposa grávida refletem sua situação, enloqueciendo.",https://imdb.com/pt/title/tt35892608/
A Vida de Chuck,"7,3",Uma história de afirmação da vida e de mudança de gênero baseada no romance de Stephen King sobre três capítulos da vida de um homem comum chamado Charles Krantz.,https://imdb.com/pt/title/tt12908150/
Ladrões,"6,9","Quando seu vizinho lhe pede para cuidar de seu gato, um ex-prodígio do beisebol, agora trabalhando como barman, se vê no meio de gangues sem saber o porquê. Ele precisa usar toda a astúcia para sobreviver e entender o que está acontecendo.",https://imdb.com/pt/title/tt1493274/
Truque de Mestre: O 3° Ato,"5,9","Um roubo de diamantes reúne ilusionistas aposentados dos Horsemen com os novos artistas Greenblatt, Smith e Sessa enquanto eles atacam criminosos perigosos.",https://imdb.com/pt/title/tt4712810/
Superman,"7,0","Segue o super-herói titular enquanto ele reconcilia sua herança com sua educação humana. Ele é a personificação da verdade, da justiça e de um futuro melhor em um mundo que vê a bondade como algo antiquado.",https://imdb.com/pt/title/tt5950044/
Pânico,"6,3","25 anos depois de uma série de assassinatos chocar a pacata cidade de Woodsboro, na Califórnia, um novo assassino veste a máscara de Ghostface e começa a atacar um grupo de adolescentes para ressuscitar segredos do passado da cidade.",https://imdb.com/pt/title/tt11245972/
Missão: Impossível - O Acerto Final,"7,2",Ethan e sua equipe estão em uma missão para encontrar e destruir uma IA conhecida como The Entity. A viagem ao redor do mundo dá origem a cenas de ação incríveis e mais de uma reviravolta inesperada.,https://imdb.com/pt/title/tt9603208/
EPiC: Elvis Presley in Concert,"8,4","Segue Elvis Presley, com filmagens e gravações nunca antes vistas.",https://imdb.com/pt/title/tt35003538/
Fogo Contra Fogo,"8,3",Um grupo de ladrões de banco suspeitam que a polícia estejam atrás deles quando deixam uma pista no seu último roubo.,https://imdb.com/pt/title/tt0113277/
Abigail,"6,5","Um grupo de criminosos sequestra uma bailarina de doze anos, filha de um poderoso homem do submundo, para coletar um resgate de US$ 50 milhões. Em uma mansão isolada, os raptores logo descobrem que não estão com uma garota normal.",https://imdb.com/pt/title/tt27489557/
